time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-02T18:28:47.148Z,-17.734,173.5855,10,4.9,mb,66,89,4.257,0.48,us,us7000i4r9,2022-09-28T22:18:14.040Z,"Fiji region",earthquake,8.42,1.795,0.078,57,reviewed,us,us
2022-09-02T17:44:14.520Z,-7.1405,129.3638,129.365,4.7,mb,109,54,2.093,0.57,us,us7000i4qt,2022-09-28T22:13:06.040Z,"Kepulauan Babar, Indonesia",earthquake,6.62,5.326,0.061,91,reviewed,us,us
2022-09-02T17:16:46.072Z,-19.7116,-176.1218,10,5,mww,104,51,1.672,0.75,us,us7000i4qk,2022-09-28T22:08:35.040Z,"184 km NNW of Nuku‘alofa, Tonga",earthquake,6.21,0.884,0.093,11,reviewed,us,us
2022-09-02T17:00:15.285Z,36.166,68.901,43.917,4.9,mww,215,24,1.626,0.68,us,us7000i4qg,2022-09-28T22:04:33.040Z,"17 km ENE of Baghl?n, Afghanistan",earthquake,5.94,4.781,0.086,13,reviewed,us,us
2022-09-02T15:47:12.537Z,-7.316,128.7766,129.75,4.5,mb,23,66,2.586,0.65,us,us7000i4pz,2022-09-22T21:05:35.040Z,"237 km NE of Lospalos, Timor Leste",earthquake,9.14,9.555,0.15,13,reviewed,us,us
2022-09-02T07:13:05.222Z,13.9268,93.6242,53.533,5,mww,123,45,5.352,0.71,us,us7000i4kj,2022-09-30T13:41:50.640Z,"265 km NNE of Bamboo Flat, India",earthquake,8.74,6.279,0.083,14,reviewed,us,us
2022-09-02T04:32:30.210Z,-17.7137,-176.4436,10,5,mb,43,55,2.502,1.09,us,us7000i4jj,2022-09-23T00:42:46.040Z,"280 km WNW of Neiafu, Tonga",earthquake,8.06,1.793,0.046,151,reviewed,us,us
2022-09-02T04:23:46.559Z,-23.8825,-179.763,528.414,4.6,mb,38,105,5.005,0.97,us,us7000i4jg,2022-09-23T00:39:32.040Z,"south of the Fiji Islands",earthquake,8.11,7.616,0.128,19,reviewed,us,us
2022-09-02T03:59:55.497Z,-7.5588,127.672,164.906,4.5,mb,35,56,3.618,0.41,us,us7000i4jc,2022-09-23T00:30:58.040Z,"129 km NE of Lospalos, Timor Leste",earthquake,7.63,6.113,0.131,20,reviewed,us,us
2022-09-02T03:34:23.588Z,2.0763,97.8361,60.247,4.7,mb,42,113,0.81,0.59,us,us7000i4j9,2022-09-23T00:26:18.040Z,"23 km SSE of Singkil, Indonesia",earthquake,6.53,7.601,0.089,38,reviewed,us,us
2022-09-02T02:45:32.055Z,51.6853,-176.7797,57.893,4.7,mb,80,137,0.206,0.66,us,us7000i4iz,2022-09-23T00:19:13.968Z,"23 km SSW of Adak, Alaska",earthquake,5.25,3.961,0.033,276,reviewed,us,us
2022-09-02T00:54:32.077Z,-5.9597,151.9654,10,4.6,mb,42,45,1.768,0.57,us,us6000iif4,2022-10-03T20:19:32.040Z,"",earthquake,9.41,1.569,0.095,33,reviewed,us,us
2022-09-02T00:12:41.809Z,-57.8811,-25.1445,27.522,4.7,mb,45,53,7.297,0.5,us,us7000i4ib,2022-09-10T05:10:38.040Z,"South Sandwich Islands region",earthquake,10.85,4.734,0.093,35,reviewed,us,us
2022-09-02T00:05:57.388Z,42.9904,146.0617,28.152,4.5,mb,59,134,2.359,0.52,us,us7000i4ia,2022-10-03T21:19:43.040Z,"54 km SE of Nemuro, Japan",earthquake,7.23,3.535,0.106,26,reviewed,us,us
2022-09-01T23:58:00.295Z,-15.9465,-176.2004,10,4.5,mb,24,59,2.469,0.78,us,us6000ii7x,2022-09-09T04:33:17.040Z,"",earthquake,7.56,1.947,0.14,15,reviewed,us,us
2022-09-01T23:08:46.345Z,-17.3779,-175.0179,269.308,4.5,mb,104,40,1.592,0.45,us,us7000i4hs,2022-10-03T21:13:28.040Z,"178 km NW of Neiafu, Tonga",earthquake,8.12,5.479,0.047,134,reviewed,us,us
2022-09-01T21:55:21.726Z,-39.7825,46.2494,10,4.6,mb,38,33,7.808,0.53,us,us6000ii7w,2022-09-10T19:33:13.040Z,"",earthquake,10.75,1.855,0.104,28,reviewed,us,us
2022-09-01T21:15:04.636Z,-17.7856,-176.5488,10,4.7,mb,49,42,2.57,0.76,us,us6000ii7t,2022-09-09T05:04:04.040Z,"287 km WNW of Neiafu, Tonga",earthquake,6.86,1.833,0.104,28,reviewed,us,us
2022-09-01T21:04:01.529Z,-7.7599,-13.5754,10,4.6,mb,22,70,0.796,0.91,us,us6000ii80,2022-09-09T05:22:19.040Z,"94 km ENE of Georgetown, Saint Helena",earthquake,5.93,1.877,0.165,11,reviewed,us,us
2022-09-01T16:23:43.418Z,-7.2015,128.9425,155.79,5.1,mww,165,24,2.461,0.61,us,us7000i4d5,2022-09-28T21:52:52.765Z,"259 km NE of Lospalos, Timor Leste",earthquake,4.82,4.059,0.061,26,reviewed,us,us
2022-09-01T15:33:15.452Z,10.9795,126.1353,10,4.8,mb,124,59,3.924,0.55,us,us7000i4bt,2022-10-04T20:47:42.040Z,"34 km E of Sulangan, Philippines",earthquake,8.93,1.802,0.057,104,reviewed,us,us
2022-09-01T14:24:42.181Z,-17.8667,-176.6512,10,4.7,mb,27,83,2.636,0.47,us,us7000i4bb,2022-09-01T15:00:17.040Z,"Fiji region",earthquake,11.91,1.89,0.106,27,reviewed,us,us
2022-09-01T11:33:22.642Z,-58.0294,-25.3213,68.598,4.5,mb,27,90,7.276,0.67,us,us6000ii7j,2022-09-28T08:29:11.040Z,"South Sandwich Islands region",earthquake,12,5.723,0.145,14,reviewed,us,us
2022-09-01T11:21:10.910Z,31.3694,131.6577,32.513,4.9,mb,80,68,1.039,0.88,us,us7000i4aa,2022-09-28T08:22:38.994Z,"37 km SE of Nichinan, Japan",earthquake,6.3,3.748,0.041,187,reviewed,us,us
2022-09-01T07:54:49.679Z,-21.9817,-68.6634,137.901,4.8,mwr,45,70,1.065,0.54,us,us7000i48y,2022-09-24T09:00:02.040Z,"59 km NNE of Calama, Chile",earthquake,6.2,3.054,,,reviewed,us,guc
2022-09-01T07:19:45.320Z,14.8966,108.2533,10.691,4.5,mb,14,135,4.155,0.35,us,us6000ii7z,2022-09-25T08:51:35.040Z,"63 km WSW of Qu?ng Ngãi, Vietnam",earthquake,11.47,5.273,0.22,7,reviewed,us,us
2022-09-01T07:02:11.891Z,13.1229,57.7163,10,5.4,mww,147,59,11.847,0.43,us,us7000i48q,2022-09-25T08:27:43.947Z,"Owen Fracture Zone region",earthquake,9.8,1.856,0.068,21,reviewed,us,us
